"mse","err"
240.001610571383,1566.54060294223
258.387491035863,1560.06440380444
241.464073802059,1563.1115689915
234.433151886173,1566.56741108114
232.164550704152,1560.10113286008
202.680836051291,1563.36767942075
255.751632914112,1566.79641870439
203.184490855726,1559.7885245215
156.755612823889,1563.18059320547
202.486377480953,1565.96172535995
197.683253751362,1559.94554917837
247.770141119519,1563.36223998473
219.038945840052,1566.57683879894
239.765006037886,1559.73723290381
250.021208415296,1563.63669055695
237.417952837124,1566.42727646689
227.719456964947,1559.69576525516
213.198635883644,1563.16453954353
221.144237070482,1566.66787006637
219.997124350529,1560.07410358407
225.749607908556,1563.42996103824
176.843565106336,1566.01447244091
215.180750584372,1559.66629608375
257.220926386185,1563.26148614461
265.652714730976,1565.60822877519
208.020455765408,1559.99151920163
232.303638191786,1562.99386322522
242.583985969761,1567.45445789605
198.982269949266,1559.87328932357
213.282562989765,1563.19496645989
222.800900160211,1566.16793195884
279.378725744903,1559.83712963545
204.73641924714,1562.78305900791
212.309468375672,1565.42594905114
211.113891152373,1559.93773772688
263.230480545291,1563.55362977044
279.874733122739,1567.28610523981
213.512036142264,1559.86166452036
226.307971911022,1563.30949856594
231.205196578205,1565.98686618249
232.296473755881,1559.83641766406
257.279147776263,1562.99131076176
209.932919504713,1566.80945830053
222.524050082346,1559.87088536639
217.153058429939,1563.16542256887
254.122416507461,1566.67655655108
193.257796199029,1559.91697558779
216.252061079958,1563.31504779584
240.542174575289,1567.01488315775
259.73536456194,1560.174294148
179.302996851971,1563.12174876007
250.241918916265,1566.65372677539
221.607565288288,1559.75539892841
198.936059192527,1563.09125463599
244.332066057783,1565.98448294039
216.715736156052,1560.03105322931
238.95832846693,1563.35645024359
219.273864624197,1567.31234900462
246.770840654891,1559.8700199524
242.038362948179,1563.28672991202
